https://2020.pycon.org.au/program/sun/
ID   | Char | CharCount | URL
18   | 'o'  | 451       | https://en.wikipedia.org/wiki/B_(programming_language) 
19   | 'f'  | 53        | https://en.wikipedia.org/wiki/Flowcode 
20   | ' '  | 5508      | https://en.wikipedia.org/wiki/Julia_(programming_language) 
21   | 'C'  | 91        | https://en.wikipedia.org/wiki/DIBOL 
22   | 'o'  | 2967      | https://en.wikipedia.org/wiki/Java_(programming_language) 
23   | 'n'  | 364       | https://en.wikipedia.org/wiki/TI-BASIC_83 
24   | 'd'  | 18        | https://en.wikipedia.org/wiki/Category:Multi-paradigm_programming_languages 
25   | 'u'  | 61        | https://en.wikipedia.org/wiki/Real-time_Programming_Language 
26   | 'c'  | 20        | https://en.wikipedia.org/wiki/Category:Concatenative_programming_languages 
27   | 't'  | 914       | https://en.wikipedia.org/wiki/Kinetic_Rule_Language 

------

runtime: 0:05:45.248997
